0	7.90539	11.1799
100	7.84414	11.0933
200	7.78428	11.0086
300	7.72578	10.9259
400	7.66858	10.845
500	7.61263	10.7659
600	7.55789	10.6885
700	7.50431	10.6127
800	7.45185	10.5385
900	7.40048	10.4659
1000	7.35016	10.3947
1100	7.30085	10.325
1200	7.25252	10.2566
1300	7.20513	10.1896
1400	7.15867	10.1239
1500	7.11309	10.0594
1600	7.06837	9.99618
1700	7.02448	9.93412
1800	6.9814	9.87319
1900	6.93911	9.81338
2000	6.89757	9.75464
2100	6.85677	9.69694
2200	6.81669	9.64025
2300	6.7773	9.58455
2400	6.73858	9.5298
2500	6.70053	9.47597
2600	6.66311	9.42305
2700	6.6263	9.37101
2800	6.59011	9.31982
2900	6.5545	9.26946
3000	6.51946	9.21991
3100	6.48497	9.17114
3200	6.45103	9.12314
3300	6.41762	9.07588
3400	6.38472	9.02935
3500	6.35232	8.98353
3600	6.32041	8.9384
3700	6.28897	8.89395
3800	6.258	8.85015
3900	6.22748	8.80699
4000	6.19741	8.76446
4100	6.16776	8.72253
4200	6.13854	8.68121
4300	6.10973	8.64046
4400	6.08132	8.60028
4500	6.0533	8.56066
4600	6.02567	8.52158
4700	5.99841	8.48303
4800	5.97152	8.445
4900	5.94499	8.40748
5000	5.9188	8.37045
5100	5.89297	8.33391
5200	5.86746	8.29784
5300	5.84229	8.26224
5400	5.81743	8.22709
5500	5.79289	8.19239
5600	5.76866	8.15812
5700	5.74473	8.12427
5800	5.72109	8.09085
5900	5.69775	8.05783
6000	5.67469	8.02522
6100	5.6519	7.993
6200	5.62939	7.96116
6300	5.60715	7.9297
6400	5.58516	7.89861
6500	5.56343	7.86788
6600	5.54196	7.83751
6700	5.52073	7.80749
6800	5.49974	7.77781
6900	5.479	7.74847
7000	5.45848	7.71946
7100	5.43819	7.69077
7200	5.41813	7.66239
7300	5.39829	7.63433
7400	5.37866	7.60658
7500	5.35925	7.57912
7600	5.34004	7.55196
7700	5.32104	7.52509
7800	5.30225	7.49851
7900	5.28365	7.4722
8000	5.26524	7.44617
8100	5.24702	7.42041
8200	5.229	7.39492
8300	5.21115	7.36969
8400	5.19349	7.34471
8500	5.17601	7.31998
8600	5.1587	7.29551
8700	5.14157	7.27128
8800	5.1246	7.24728
8900	5.1078	7.22353
9000	5.09117	7.2
9100	5.0747	7.1767
9200	5.05838	7.15363
9300	5.04222	7.13078
